公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%)
2466,冠西電,207513.0,268970,120702,-22.84,71.92,476483,290085,64.25
2486,一詮精密,221864.0,312920,278694,-29.09,-20.39,534784,675887,-20.87
2489,瑞軒,578418.0,1130543,750325,-48.83,-22.91,1708961,1525388,12.03
2491,吉祥全,20817.0,39562,23301,-47.38,-10.66,60379,61759,-2.23
2499,東貝光電,305642.0,432221,356255,-29.28,-14.20,737863,905034,-18.47
3008,大立光,2532450.0,3346531,2218792,-24.32,14.13,5885105,5734652,2.62
3019,亞洲光學,1105213.0,1493736,1075795,-26.01,2.73,2598949,2513334,3.40
3024,憶聲電子,65532.0,147793,116230,-55.65,-43.61,213325,263700,-19.10
3031,佰鴻工業,74054.0,146898,93800,-49.58,-21.05,220952,251820,-12.25
3038,全台,237053.0,336583,214941,-29.57,10.28,573636,469118,22.27
3049,和鑫,251553.0,219844,214155,14.42,17.46,471397,531895,-11.37
3050,鈺德科技,67073.0,77059,58593,-12.95,14.47,144132,118445,21.68
3051,力特光電,171201.0,204095,165019,-16.11,3.74,375296,365874,2.57
3059,華晶科技,447267.0,751526,548628,-40.48,-18.47,1198793,1370945,-12.55
3149,正達國際,174107.0,295262,203054,-41.03,-14.25,469369,506081,-7.25
3356,奇偶科技,108895.0,124361,110316,-12.43,-1.28,233255,226270,3.08
3383,新世紀,50261.0,51187,70076,-1.80,-28.27,101449,166368,-39.02
3406,玉晶光,220329.0,425884,416468,-48.26,-47.09,646213,1190239,-45.70
3437,榮創,206659.0,380351,256760,-45.66,-19.51,587010,698367,-15.94
3454,晶睿,438596.0,642025,310410,-31.68,41.29,1080621,669080,61.50
3481,群創光電,18141750.0,21208283,18082174,-14.45,0.32,39350033,44186381,-10.94
3504,揚明光學,330906.0,404557,299327,-18.20,10.55,735463,684716,7.41
3535,晶彩科,310143.0,173911,59622,78.33,420.18,484054,140437,244.67
3557,嘉威,1800.0,6441,459,-72.05,292.15,8241,2311,256.59
3563,牧德,212280.0,206307,185948,2.89,14.16,418587,366745,14.13
3576,聯合再生,1520403.0,1083718,609777,40.29,149.33,2604121,1442119,80.57
3591,艾笛森,185469.0,262293,225551,-29.28,-17.77,447762,472668,-5.26
3622,洋華,32408.0,67241,62957,-51.80,-48.52,99650,115218,-13.51
3669,圓展,138351.0,162262,118623,-14.73,16.63,300614,244721,22.83
