公司代號,公司名稱,營業收入(百萬元),毛利率(%)(營業毛利)/(營業收入),營業利益率(%)(營業利益)/(營業收入),稅前純益率(%)(稅前純益)/(營業收入),稅後純益率(%)(稅後純益)/(營業收入),合計：共 876 家
2482,連宇,598.90,43.97,-6.76,-8.98,-9.25,
2483,百容,1335.99,29.90,12.69,11.94,9.25,
2484,希華,2378.87,16.88,6.55,6.74,5.51,
2485,兆赫電子,6544.48,11.40,2.46,0.19,0.22,
2486,一詮精密,3142.98,9.17,-2.25,-3.84,-3.42,
2488,漢平,1612.72,25.72,12.39,12.64,9.87,
2489,瑞軒,12069.83,5.74,-6.94,-6.92,-5.87,
2491,吉祥全,292.00,24.09,-3.15,11.14,11.14,
2492,華新科,15688.65,24.84,13.99,15.32,11.82,
2493,揚博科技,1689.15,31.07,14.85,14.36,11.92,
2495,普安,1193.83,44.08,5.06,4.80,3.52,
2496,卓越成功,578.30,51.35,21.41,22.84,21.04,
2497,怡利電子,1756.39,17.59,-5.02,-5.23,-4.62,
2498,宏達電,46372.43,13.35,-16.92,-15.39,-15.33,
2499,東貝光電,4268.37,21.90,-0.74,-6.70,-6.44,
2501,國建,8676.85,20.16,9.77,9.07,9.28,
2504,國產,11768.52,7.27,0.57,25.97,25.57,
2505,國揚實業,2633.89,20.01,8.44,7.99,7.90,
2506,太設,1205.38,53.19,8.11,15.96,7.92,
2509,全坤建,713.76,25.19,8.61,4.37,0.43,
2511,太子,7886.45,31.55,8.03,9.13,8.85,
2514,龍邦國際,1586.47,99.05,84.54,81.67,73.49,
2515,中工,7296.96,10.77,3.36,3.91,3.37,
2516,新建,6409.57,-3.64,-5.28,-4.20,-4.45,
2520,冠德,6745.89,30.40,10.13,9.25,6.58,
2524,京城,2912.72,33.51,20.84,17.75,15.18,
2527,宏璟,129.24,57.15,-53.87,27.82,6.50,
2528,皇普建設,62.07,39.11,-5.40,23.99,23.60,
2530,華建,68.12,15.12,-81.66,-95.97,-120.90,
2534,宏盛,4170.96,48.74,41.64,44.59,42.41,
2535,達工,7965.07,9.05,5.29,4.94,3.78,
2536,宏普建設,363.57,42.84,14.46,63.68,54.49,
2537,聯上開發,311.16,29.24,6.85,10.10,5.34,
2538,基泰建設,267.37,44.93,16.49,11.22,11.15,
2539,櫻花建設,2436.44,32.93,25.71,25.53,23.28,
2540,愛山林,629.04,45.60,19.17,8.67,1.31,
2542,興富發,13855.19,27.00,15.23,15.86,14.56,
2543,皇昌營造,3039.45,4.08,0.60,0.11,-0.06,
2545,皇翔,2506.52,29.50,9.86,1.14,8.35,
2546,根基,5892.33,7.42,4.59,5.18,4.21,
2547,日勝,4982.30,38.94,-18.86,-23.91,-27.45,
2548,華固建設,9431.08,31.91,23.84,27.21,22.08,
2597,潤弘精密,5527.75,15.28,6.37,6.99,5.82,
2601,益航,5055.89,71.03,10.92,8.83,3.50,
2603,長榮海運,113068.27,8.70,5.21,6.86,6.27,
2605,新興,2423.53,25.74,22.20,21.92,19.36,
2606,裕民,6005.85,7.92,4.23,6.65,10.01,
2607,榮運,5628.29,15.23,12.12,12.60,10.20,
2608,嘉里大榮,7117.85,17.62,13.27,15.59,12.50,
2609,陽明海運,99263.10,4.85,0.51,0.19,0.06,
2610,華航,114495.78,13.88,5.36,1.74,1.04,
2611,志信,786.64,29.20,-1.18,0.12,0.47,
2612,中航,2376.44,16.58,5.79,-0.73,-1.78,
2613,中櫃,1981.57,7.63,2.76,1.92,1.62,
2614,東森,10098.81,25.34,-2.06,-0.60,-1.07,
2615,萬海,44969.86,11.81,5.52,5.49,4.41,
2616,山隆通運,12599.06,8.91,1.97,4.77,4.12,
2617,台航,2025.83,12.42,8.30,11.29,10.26,
2618,長榮航空,121431.70,13.45,6.09,5.74,4.86,
2630,亞洲航空,1816.10,18.90,9.40,9.16,7.59,
2633,台灣高鐵,32026.14,43.77,41.31,15.45,12.73,
2634,漢翔公司,19379.84,13.72,9.75,7.84,5.97,
2636,台驊投控,7824.08,18.18,3.95,3.43,2.43,
2637,慧洋-KY,8055.01,16.35,14.85,1.11,1.10,
2642,宅配通,2240.72,17.67,3.21,5.93,5.23,
2701,萬企,283.38,51.48,44.12,125.03,106.44,
2702,華園,1028.32,73.90,9.30,2.74,2.07,
2704,國賓,2297.02,43.94,14.52,18.64,15.55,
2705,六福,2347.25,23.21,-12.79,-14.85,-14.85,
2706,第一店,246.71,71.38,62.36,195.33,165.10,
2707,晶華酒店,5125.10,33.71,17.93,18.15,14.81,
2712,遠雄來,341.53,31.14,5.33,5.39,4.38,
2722,夏都,525.66,53.27,20.68,21.26,16.99,
2723,美食-KY,16879.10,59.31,12.25,13.16,9.28,
2727,王品,11963.68,50.04,6.98,6.92,4.88,
2731,雄獅旅遊,20256.10,12.07,1.94,2.37,1.96,
2739,寒舍餐旅,2929.33,36.41,0.53,1.41,1.22,
2748,雲品,1065.38,31.03,16.73,16.46,13.58,
2816,旺旺保險,5359.34,33.95,8.86,9.19,9.18,
2823,中壽,189304.60,5.41,3.77,3.76,4.02,
2832,台產,3842.44,44.36,20.62,20.56,18.79,
2841,台灣土地,706.70,86.53,7.59,39.06,31.65,
2850,新產,10490.54,30.86,11.03,11.16,9.82,
2851,中再保,11134.60,15.79,13.48,13.49,11.31,
2852,第一保,4397.68,31.49,10.70,10.70,9.35,
2867,三商美邦,138939.31,5.99,3.37,3.40,3.07,
2901,欣欣大眾,115.05,86.93,23.41,28.51,23.52,
2903,遠百,28184.13,50.71,5.69,4.62,2.80,
2904,匯僑,327.93,38.53,24.37,25.36,20.92,
2906,高林實,5451.65,22.87,3.68,3.29,2.19,
2908,特力,28265.85,29.06,2.77,2.43,2.13,
2910,統領,224.62,81.44,30.85,25.42,25.70,
2911,麗嬰房,4825.15,44.40,-6.60,-5.49,-4.43,
2912,統一超,165458.29,33.17,5.25,6.79,5.78,
2913,台灣農林,2190.28,32.58,19.79,27.18,27.78,
2915,潤泰全球,6284.86,47.27,31.11,88.54,85.71,
2923,鼎固-KY,3772.41,66.00,60.99,26.80,5.13,
2929,淘帝-KY,3958.93,39.11,20.99,22.76,16.66,
2936,客思達-KY,8753.49,30.41,2.44,1.92,1.71,
2939,凱羿-KY,4721.71,27.01,20.68,19.45,15.96,
3002,歐格電子,512.30,32.37,8.13,16.02,13.42,
3003,健和興,2512.26,36.20,21.21,21.52,15.44,
3004,豐達科技,1276.44,28.96,14.77,13.48,10.36,
3005,神基科技,16004.59,28.45,11.51,11.93,9.37,
3006,晶豪科技,7717.50,19.06,6.66,9.65,8.25,
3008,大立光,37039.09,68.37,59.51,58.75,46.89,
3010,華立,31014.61,9.34,3.55,4.57,3.47,
3011,今皓,810.25,14.48,-7.31,-7.06,-7.88,
3013,晟銘電子,3527.12,14.41,7.41,6.44,5.65,
3014,聯陽,2357.86,50.74,16.01,15.39,13.09,
3015,全漢,11055.95,11.05,-0.32,2.93,2.45,
3016,嘉晶,2508.90,13.15,6.07,5.59,4.64,
3017,奇鋐科技,19558.09,12.37,4.71,4.89,3.65,
3018,同開科技,1146.58,8.51,1.79,1.18,0.75,
3019,亞洲光學,14038.87,19.17,7.32,6.82,5.65,
3021,鴻名企業,1555.59,24.42,7.33,6.17,5.57,
3022,威強電,5393.20,32.69,15.44,19.43,15.41,
3023,信邦電子,10052.04,25.11,11.90,13.09,9.78,
3024,憶聲電子,2115.11,18.55,-0.80,-0.52,-1.08,
3025,星通,329.93,47.66,-2.02,-2.38,-2.46,
3026,禾伸堂,9709.73,15.99,5.00,5.23,4.12,
3027,盛達電業,585.11,28.90,-15.01,-8.57,-9.51,
3028,增你強,19856.08,5.38,1.86,1.95,1.56,
3029,零壹科技,4538.05,9.80,3.97,4.06,3.22,
3030,德律科技,2745.88,52.58,22.02,20.73,17.42,
3031,佰鴻工業,1503.26,23.61,6.39,9.21,8.20,
3032,偉訓科技,5283.54,18.56,6.57,6.26,4.70,
