公司代號,公司名稱,營業收入(百萬元),毛利率(%)(營業毛利)/(營業收入),營業利益率(%)(營業利益)/(營業收入),稅前純益率(%)(稅前純益)/(營業收入),稅後純益率(%)(稅後純益)/(營業收入),合計：共 902 家
3189,景碩科技,23727.93,22.70,3.34,2.99,1.73,
3209,全科,31795.07,4.57,1.50,0.93,0.68,
3229,晟鈦,459.44,9.57,-18.19,-15.76,-16.11,
3231,緯創,889536.35,4.22,1.21,1.09,0.82,
3257,虹冠電,775.69,43.75,6.10,16.52,14.60,
3266,昇陽建設,2725.28,16.12,4.53,6.01,2.28,
3296,勝德國際,3140.74,15.12,1.99,3.53,3.16,
3305,昇貿科技,5452.25,10.20,2.23,2.84,0.79,
3308,聯德電子,751.68,0.58,-22.35,-19.91,-20.79,
3311,閎暉,2251.04,12.85,-6.72,1.91,-1.50,
3312,弘憶國際,9812.50,4.53,1.48,1.44,1.41,
3321,同泰電子,2413.29,0.96,-15.83,-14.59,-14.01,
3338,泰碩電子,3459.84,20.33,4.01,4.75,3.96,
3346,麗清,4404.91,17.93,5.33,5.34,4.68,
3356,奇偶科技,1480.39,33.35,-7.71,3.26,3.81,
3376,新日興,9644.92,24.11,15.63,17.86,12.35,
3380,明泰科技,15608.22,13.48,-1.28,-0.54,-0.56,
3383,新世紀,901.67,-17.43,-38.09,-38.23,-38.00,
3406,玉晶光,7914.25,38.75,15.67,15.62,11.41,
3413,京鼎,9304.95,24.85,14.32,15.40,12.50,
3416,融程電訊,1565.35,35.34,12.94,15.45,13.10,
3419,譁裕實業,1866.21,21.62,1.24,3.42,3.55,
3432,台端,114.02,39.76,-32.38,312.63,245.24,
3437,榮創,4643.05,6.01,-8.51,-9.19,-8.33,
3443,創意電子,13459.80,29.84,8.15,8.44,7.34,
3450,聯鈞,6842.24,25.49,16.70,20.14,14.40,
3454,晶睿,5235.97,34.38,5.34,6.09,5.08,
3481,群創光電,279376.12,9.60,1.73,2.35,0.80,
3494,誠研科技,1225.84,15.09,-26.63,-34.05,-34.45,
3501,維熹科技,5522.11,27.51,13.90,16.98,12.84,
3504,揚明光學,6262.25,20.04,2.66,3.90,2.88,
3515,華擎,10193.16,22.25,6.53,6.81,5.82,
3518,柏騰科技,576.46,2.60,-48.97,-51.90,-58.69,
3528,安馳科技,4122.75,13.94,6.27,5.40,4.30,
3530,晶相光,2034.27,23.09,8.85,9.34,7.74,
3532,台勝科,16358.13,42.57,37.78,39.17,34.11,
3533,嘉澤端子,13311.52,32.67,14.89,16.18,12.83,
3535,晶彩科,1537.75,25.15,3.62,5.48,5.48,
3536,誠創科技,1131.50,9.95,-5.12,-5.64,-5.73,
3545,敦泰,9919.37,15.75,-6.81,-25.24,-25.08,
3550,聯穎,4096.10,18.65,4.61,5.27,2.99,
3557,嘉威,28.58,-43.84,-225.29,1.11,1.11,
3563,牧德,3111.88,69.63,50.91,52.13,42.02,
3576,聯合再生,12983.92,-5.62,-20.87,-3.39,-3.57,
3583,辛耘,3988.03,36.32,12.88,13.54,10.48,
3588,通嘉,1080.44,35.98,2.02,3.58,3.43,
3591,艾笛森,2614.35,17.08,0.81,2.13,1.69,
3593,力銘,820.21,9.29,-7.86,-12.78,-17.86,
3596,智易科技,26621.26,11.86,3.65,4.20,3.31,
3605,宏致,6710.89,20.46,2.02,3.76,3.31,
3607,谷崧,5499.98,-0.29,-12.04,-12.81,-16.19,
3617,碩天科技,8333.49,41.88,7.90,9.78,7.11,
3622,洋華,738.79,13.69,-14.82,19.38,16.66,
3645,達邁,2268.61,35.64,20.96,21.81,16.70,
3653,健策,4681.90,24.46,10.84,13.08,10.54,
3661,世芯-KY,3450.68,37.43,9.33,9.70,7.46,
3665,貿聯-KY,21392.40,21.46,8.36,8.68,6.54,
3669,圓展,2109.64,46.59,2.55,3.34,2.18,
3673,TPK-KY,113481.51,3.71,-0.18,0.61,0.32,
3679,新至陞,4218.84,18.91,7.54,10.90,5.73,
3682,亞太電信,14565.96,9.38,-33.83,-32.64,-22.43,
3686,達能,522.53,-152.37,-163.81,-352.57,-353.43,
3694,海華科技,6923.96,10.35,-1.57,-1.76,-1.71,
3698,隆達,11055.22,14.12,-0.71,0.72,0.45,
3701,大眾投控,6356.03,13.03,-6.02,10.51,8.16,
3702,大聯大,545127.80,4.33,1.94,1.69,1.38,
3703,欣陸投控,25154.11,14.81,9.34,8.59,8.02,
3704,合勤控,22222.73,18.76,-3.41,-2.86,-2.71,
3705,永信,7513.69,45.72,10.68,12.42,9.12,
3706,神達,30751.82,15.57,1.09,11.29,10.72,
3708,上緯投控,6195.19,19.16,4.37,19.95,16.43,
3711,日月光投控,371092.42,16.48,7.18,8.64,7.13,
3712,永崴,3284.20,9.79,-4.41,-4.00,-5.08,
4104,佳醫,6345.03,18.90,6.90,10.22,8.64,
4106,雃博,2105.75,41.64,6.50,7.14,5.19,
4108,懷特,107.48,51.23,-250.19,-194.24,-194.24,
4119,旭富製藥,1939.91,38.61,26.58,28.08,23.05,
4133,亞諾法,426.02,44.49,4.73,8.71,10.83,
4137,麗豐-KY,4578.51,82.53,34.13,36.44,26.62,
4141,龍燈-KY,9123.83,40.92,7.51,2.77,1.06,
4142,國光生技,822.37,-35.79,-87.13,-80.98,-80.98,
4144,康聯-KY,2134.59,50.81,6.03,9.91,5.69,
4148,全宇生技-KY,2687.58,28.82,13.27,14.85,12.97,
4155,訊映,1120.35,27.65,12.24,17.99,14.33,
4164,承業醫,2507.47,29.14,18.34,14.68,12.68,
4190,佐登-KY,3108.50,76.80,22.54,23.19,16.97,
4306,炎洲,19810.47,11.54,2.93,4.04,2.66,
4414,如興,17402.36,13.67,-0.72,-8.81,-9.05,
4426,利勤實業,2046.73,28.58,17.35,18.55,15.06,
4438,廣越,13280.44,16.64,8.33,8.40,6.45,
4526,東台,11625.28,23.36,3.59,4.11,3.42,
4532,瑞智精密,22479.30,15.82,7.33,7.02,5.12,
4536,拓凱,7397.50,29.04,13.16,15.31,11.20,
4540,全球傳動,3418.36,35.03,22.49,22.96,18.18,
4545,銘鈺,2073.53,17.37,-2.57,-1.65,-2.74,
4551,智伸科,4424.84,29.07,18.51,16.42,11.29,
4552,力達-KY,7542.98,23.62,16.46,15.77,10.20,
4555,台灣氣立,1704.37,37.35,11.17,12.68,10.00,
