公司代號,公司名稱,利息淨收益,利息以外淨損益,呆帳費用、承諾及保證責任準備提存,營業費用,繼續營業單位稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）,收益,支出及費用,營業利益,營業外損益,稅前淨利（淨損）,繼續營業單位本期淨利（淨損）,本期淨利（淨損）,本期其他綜合損益（稅後淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於共同控制下前手權益,營業收入,營業成本,原始認列生物資產及農產品之利益（損失）,生物資產當期公允價值減出售成本之變動利益（損失）,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,其他綜合損益（淨額）,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於非控制權益,利息以外淨收益,淨收益,保險負債準備淨變動,繼續營業單位稅前損益,所得稅（費用）利益,繼續營業單位稅前純益（純損）,繼續營業單位本期純益（純損）,其他綜合損益（稅後淨額）,收入,支出,其他綜合損益
1301,台塑,,,,2674659.0,,1845387,,--,--,,,,,,,22195203,--,--,1.87,,,,,13728708.0,11883321.0,11883321.0,,--,22195203.0,--,54167368.0,44818153.0,--,--,9349215.0,--,--,9349215.0,--,6674556.0,7054152.0,10311882,11883321,--,,,,,,,,,,,
1303,南亞塑膠,,,,4704713.0,,1966634,,--,--,,,,,,,17003460,--,-119335,1.7,,,,,15233931.0,13267297.0,13267297.0,,--,16884125.0,--,82219991.0,68463037.0,--,--,13756954.0,--,12633,13769587.0,--,9064874.0,6169057.0,3616828,13464659,-197362,,,,,,,,,,,
1304,台聚,,,,933830.0,,184080,,-142,--,,,,,,,314463,--,701567,0.24,,,,,1000493.0,816413.0,816271.0,,--,1016030.0,--,14670146.0,12824540.0,--,--,1845606.0,--,--,1845606.0,--,911776.0,88717.0,199759,247661,568610,,,,,,,,,,,
1305,華夏,,,,313806.0,,98161,,-142,--,,,,,,,535773,--,42116,1.1,,,,,681941.0,583780.0,583638.0,,--,577889.0,--,4144200.0,3174086.0,--,--,970114.0,--,--,970114.0,--,656308.0,25633.0,-5749,541502,42136,,,,,,,,,,,
1307,三芳化工,,,,397022.0,,27797,,--,--,,,,,,,-25173,--,--,0.26,,,,,130972.0,103175.0,103175.0,,--,-25173.0,--,2385362.0,1831632.0,--,--,553730.0,--,--,553730.0,--,156708.0,-25736.0,-128348,103175,--,,,,,,,,,,,
1308,亞聚,,,,50732.0,,3068,,--,--,,,,,,,-43073,0,--,0.16,,,,,85809.0,82741.0,82741.0,,--,-43073.0,0,1326214.0,1248416.0,--,--,77798.0,--,--,77798.0,--,27066.0,58743.0,-125814,82741,--,,,,,,,,,,,
1309,台達化工,,,,181424.0,,33630,,--,--,,,,,,,203217,--,--,0.58,,,,,223281.0,189651.0,189651.0,,--,203217.0,--,4842167.0,4466915.0,--,--,375252.0,--,--,375252.0,--,193828.0,29453.0,13566,189651,--,,,,,,,,,,,
1310,台苯,,,,120859.0,,97688,,--,--,,,,,,,344774,--,-6731,0.75,,,,,484702.0,387014.0,387014.0,,--,338043.0,--,4004442.0,3458303.0,--,--,546139.0,--,--,546139.0,--,425280.0,59422.0,-48971,394591,-7577,,,,,,,,,,,
1312,國喬石化,,,,346492.0,,196472,,--,--,,,,,,,1106837,--,45728,1.08,,,,,1201807.0,1005335.0,1005335.0,,--,1152565.0,--,6386708.0,5261882.0,--,--,1124826.0,--,--,1124826.0,--,778334.0,423473.0,147230,976827,28508,,,,,,,,,,,
1313,聯成,,,,535280.0,,155306,,--,--,,,,,,,685014,--,--,0.37,,,,,586665.0,431359.0,431359.0,,--,685014.0,--,13569504.0,12550060.0,--,--,1019444.0,--,--,1019444.0,--,484164.0,102501.0,253655,431359,--,,,,,,,,,,,
1314,中石化,,,,453700.0,,14533,,--,--,,,,,,,1126145,--,-187,0.41,,,,,1118032.0,1103499.0,1103499.0,,--,1125958.0,--,9494452.0,8236559.0,--,--,1257893.0,--,0,1257893.0,--,804193.0,313839.0,22459,1104390,-891,,,,,,,,,,,
1315,達新工業,,,,93300.0,,-17024,,--,--,,,,,,,41826,--,-898,-0.04,,,,,-25878.0,-8854.0,-8854.0,,--,40928.0,--,573452.0,491263.0,--,--,82189.0,--,--,82189.0,--,-11111.0,-14767.0,49782,-8031,-823,,,,,,,,,,,
1316,上曜,,,,112483.0,,5897,,--,--,,,,,,,230786,--,146778,1.25,,,,,143972.0,138075.0,138075.0,,--,377564.0,--,766579.0,517488.0,--,--,249091.0,--,--,249091.0,--,136608.0,7364.0,239489,145047,-6972,,,,,,,,,,,
1319,東陽,,,,870887.0,,193020,,--,--,,,,,,,649707,--,12382,0.84,,,,,696085.0,503065.0,503065.0,,--,662089.0,--,6245138.0,4781822.0,--,--,1463316.0,--,0,1463316.0,--,592429.0,103656.0,159024,499341,3724,,,,,,,,,,,
1321,大洋,,,,92882.0,,2210,,--,--,,,,,,,603,--,--,0.18,,,,,41946.0,39736.0,39736.0,,--,603.0,0,1190142.0,1109736.0,--,--,80406.0,--,--,80406.0,--,-12476.0,54422.0,-39133,39736,0,,,,,,,,,,,
1323,永裕,,,,99458.0,,23308,,--,--,,,,,,,80129,--,11172,0.67,,,,,94840.0,71532.0,71532.0,,--,91301.0,--,825302.0,630073.0,--,--,195229.0,--,--,195229.0,--,95771.0,-931.0,19769,60711,10821,,,,,,,,,,,
1324,地球工業,,,,46007.0,,-1765,,--,--,,,,,,,644,--,--,-0.07,,,,,-7152.0,-5387.0,-5387.0,,--,644.0,--,261060.0,221932.0,--,--,39128.0,--,--,39128.0,--,-6879.0,-273.0,6031,-5387,--,,,,,,,,,,,
1325,恒大,,,,12674.0,,1479,,--,--,,,,,,,10023,--,588,0.1,,,,,9123.0,7644.0,7644.0,,--,10611.0,--,229124.0,202659.0,--,--,26465.0,--,--,26465.0,--,13791.0,-4668.0,2967,8244,-600,,,,,,,,,,,
