公司代號,公司名稱,利息淨收益,利息以外淨損益,呆帳費用及保證責任準備提存（各項提存）,營業費用,繼續營業單位稅前淨利（淨損）,所得稅（費用）利益,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）,收益,支出及費用,營業利益,營業外損益,稅前淨利（淨損）,所得稅利益（費用）,繼續營業單位本期淨利（淨損）,本期淨利（淨損）,本期其他綜合損益（稅後淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於共同控制下前手權益,營業收入,營業成本,原始認列生物資產及農產品之利益（損失）,生物資產當期公允價值減出售成本之變動利益（損失）,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,所得稅費用（利益）,其他綜合損益（淨額）,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於非控制權益,利息以外淨收益,淨收益,呆帳費用及保證責任準備提存,保險負債準備淨變動,繼續營業單位稅前損益,繼續營業單位稅前純益（純損）,繼續營業單位本期純益（純損）,其他綜合損益（稅後淨額）,收入,支出,其他綜合損益
1313,聯成,,,,1865439.0,,,,--,--,,,,,,,3449744,--,0,2.02,,,,,2934280.0,,2342413.0,2342413.0,,--,3449744.0,--,50600125.0,46739774.0,--,--,3860351.0,--,--,3860351.0,--,1994912.0,939368.0,591867,1107331,2342413,0,,,,,,,,,,,
1314,中石化,,,,1787545.0,,,,--,--,,,,,,,6448195,--,-3323,2.55,,,,,6297721.0,,6087322.0,6087322.0,,--,6444872.0,--,33335970.0,27964951.0,--,--,5371019.0,0,562,5371581.0,--,3584036.0,2713685.0,210399,357550,6091656,-4334,,,,,,,,,,,
1315,達新工業,,,,401973.0,,,,--,--,,,,,,,249140,--,-4551,0.9,,,,,165621.0,,168251.0,168251.0,,--,244589.0,--,2654707.0,2211050.0,--,--,443657.0,--,--,443657.0,--,41684.0,123937.0,-2630,76338,171736,-3485,,,,,,,,,,,
1316,上曜,,,,272984.0,,,,--,--,,,,,,,430284,--,142858,3.17,,,,,381830.0,,326064.0,326064.0,,--,573142.0,--,2159740.0,1525764.0,--,--,633976.0,--,--,633976.0,--,360992.0,20838.0,55766,247078,336704,-10640,,,,,,,,,,,
1319,東陽,,,,3426237.0,,,,--,--,,,,,,,2431438,42332,--,3.96,,,,,3005127.0,,2395481.0,2395481.0,,--,2473770.0,--,24452883.0,18527509.0,--,--,5925374.0,--,137,5925511.0,--,2499274.0,505853.0,609646,78289,2341351,54130,,,,,,,,,,,
1321,大洋,,,,334370.0,,,,--,--,,,,,,,-85453,--,--,-0.37,,,,,-10115.0,,-81431.0,-81431.0,,--,-85453.0,--,4467046.0,4215125.0,--,--,251921.0,--,--,251921.0,--,-82449.0,72334.0,71316,-4022,-81431,--,,,,,,,,,,,
1323,永裕,,,,361429.0,,,,--,--,,,,,,,218565,--,62568,2.76,,,,,406722.0,,313835.0,313835.0,,--,281133.0,--,3241637.0,2475325.0,--,--,766312.0,--,--,766312.0,--,404883.0,1839.0,92887,-32702,251158,62677,,,,,,,,,,,
1324,地球工業,,,,203519.0,,,,--,--,,,,,,,54840,--,--,0.8,,,,,86510.0,,60286.0,60286.0,,--,54840.0,--,1227153.0,1040344.0,--,--,186809.0,--,--,186809.0,--,-16710.0,103220.0,26224,-5446,60286,--,,,,,,,,,,,
1325,恒大,,,,52697.0,,,,--,--,,,,,,,38882,--,-5798,0.51,,,,,52858.0,,39677.0,39677.0,,--,33084.0,--,865210.0,747063.0,--,--,118147.0,--,--,118147.0,--,65450.0,-12592.0,13181,-6593,43512,-3835,,,,,,,,,,,
1326,台化,,,,14282138.0,,,,--,--,,,,,,,70707693,--,5640290,9.33,,,,,66706883.0,,60035946.0,60035946.0,,--,76347983.0,--,358421471.0,305225269.0,--,--,53196202.0,--,--,53196202.0,--,38914064.0,27792819.0,6670937,16312037,54410802,5625144,,,,,,,,,,,
