公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%)
1516,川飛,79371.0,16980,17789,367.43,346.18,140293,217518,-35.50
2062,橋椿,550520.0,570666,555682,-3.53,-0.92,2153800,2176611,-1.04
2348,海悅,75256.0,65472,76926,14.94,-2.17,267602,307264,-12.90
2358,廷鑫,120358.0,154669,170398,-22.18,-29.36,445451,565951,-21.29
2443,新利虹,146980.0,61553,92162,138.78,59.48,369681,393733,-6.10
2496,卓越成功,74330.0,82604,80315,-10.01,-7.45,289058,301702,-4.19
2514,龍邦國際,627857.0,549176,9878,14.32,6256.11,1195245,34871,3327.61
2904,匯僑,42889.0,42431,39225,1.07,9.34,170377,140935,20.89
3040,遠見,14615.0,12420,14792,17.67,-1.19,61558,59000,4.33
4536,拓凱,683787.0,504945,610943,35.41,11.92,2318902,2158356,7.43
6184,大豐電,167638.0,169638,161602,-1.17,3.73,673242,642796,4.73
6464,台數科,234607.0,238862,263642,-1.78,-11.01,949643,981103,-3.20
6504,南六,542493.0,561676,536240,-3.41,1.16,2150183,2181852,-1.45
6581,鋼聯,279522.0,92917,387939,200.82,-27.94,667564,739865,-9.77
6625,必應,53566.0,61754,138112,-13.25,-61.21,299853,322154,-6.92
6655,科定,216087.0,221454,195328,-2.42,10.62,708345,633202,11.86
6670,復盛應用,1009085.0,1408730,1366820,-28.36,-26.17,5220643,5582495,-6.48
8033,雷虎科技,62705.0,80041,78711,-21.65,-20.33,270846,307524,-11.92
8341,日友,173006.0,152274,176139,13.61,-1.77,715675,661685,8.15
8422,可寧衛,240340.0,214353,308365,12.12,-22.05,920774,1209787,-23.88
8463,潤泰精材,254904.0,263914,196012,-3.41,30.04,980501,829264,18.23
8464,億豐,1989071.0,1818744,1761981,9.36,12.88,7166741,6444014,11.21
8473,山林水,385832.0,351454,309171,9.78,24.79,1473905,1319746,11.68
8478,東哥遊艇,148040.0,217913,65957,-32.06,124.44,399579,693328,-42.36
8481,政伸,83664.0,113591,87365,-26.34,-4.23,366832,349995,4.81
8497,格威傳媒,280620.0,317570,316375,-11.63,-11.30,1054102,1049213,0.46
9902,台火,19883.0,6793,1629,192.69,1120.56,42123,19821,112.51
9904,寶成工業,27181998.0,27254605,25123738,-0.26,8.19,103810840,92438421,12.30
9905,大華金,653645.0,685941,650100,-4.70,0.54,2601178,2339738,11.17
9907,統一實業,2566659.0,2948467,3181391,-12.94,-19.32,10343942,11334453,-8.73
9910,豐泰企業,5773712.0,6039076,5003154,-4.39,15.40,22686550,19823955,14.44
9911,台灣櫻花,452698.0,426629,376215,6.11,20.32,1833893,1820176,0.75
9914,美利達,2580055.0,1829575,1900118,41.01,35.78,8155917,7663119,6.43
9917,中保,1095636.0,1111802,1070052,-1.45,2.39,4406962,4345680,1.41
9919,康那香,285506.0,344096,275139,-17.02,3.76,1309397,1198310,9.27
9921,巨大機械,5780125.0,5771694,4960388,0.14,16.52,20417030,18909709,7.97
9924,台灣福興,834254.0,736942,706276,13.20,18.12,2825064,2558307,10.42
9925,新光保全,586064.0,584218,566588,0.31,3.43,2341221,2294944,2.01
9927,泰銘,771395.0,727657,972635,6.01,-20.69,2888619,3586414,-19.45
9928,中視,67369.0,45356,61508,48.53,9.52,217908,230190,-5.33
9929,秋雨,95497.0,97329,56232,-1.88,69.82,395075,238184,65.86
9930,中聯資源,777131.0,789969,773191,-1.62,0.50,3180322,2891526,9.98
9933,中鼎工程,4458911.0,5391153,4423229,-17.29,0.80,18171369,18963811,-4.17
9934,成霖企業,1528779.0,1473379,1514493,3.76,0.94,5816763,5869125,-0.89
9935,慶豐富,561754.0,413397,351595,35.88,59.77,1687958,1163938,45.02
9938,台灣百和,1292121.0,1732884,1056965,-25.43,22.24,5636050,3946341,42.81
9939,宏全,1969196.0,1969231,1757402,-0.00,12.05,6935702,6402634,8.32
9940,信義,1164314.0,1397031,878438,-16.65,32.54,4296729,3341510,28.58
9941,裕融企業,2243533.0,2129670,1863684,5.34,20.38,8439743,7299616,15.61
9942,茂順,289685.0,265779,284830,8.99,1.70,1011287,1071115,-5.58
9944,新麗企業,292992.0,330005,314539,-11.21,-6.85,1116241,1146308,-2.62
9945,潤泰創新,1456816.0,1352660,1106449,7.70,31.66,5053095,4190518,20.58
9955,佳龍,114448.0,145706,209261,-21.45,-45.30,554238,625411,-11.38
全部國內上市公司合計,2510691635,2551613605.0,2395473176,-1.60,4.80,9742608542,9552629157,1.98,
